NumberOfPlayers,DeadAgentVoted,DeadAgentAttacked,TeammateAttacked,IncorrectAction,WerewolfWins,VillagerWins,TotalTurns,TotalDays,TotalGames
10,6,0,0,20,1,0,11,5,1
10,2,0,0,10,0,1,5,2,1
10,7,3,0,20,0,1,11,5,1
10,0,0,1,12,0,1,4,2,1
10,7,4,0,30,0,1,17,8,1
10,0,0,0,0,0,1,1,0,1
10,1,1,0,13,0,1,7,3,1
10,3,5,1,25,0,1,14,7,1
10,0,0,0,6,0,1,3,1,1
10,8,0,0,22,0,1,13,6,1
10,1,2,0,6,0,1,3,1,1
10,4,0,0,17,0,1,9,4,1
10,1,1,1,13,0,1,6,3,1
10,4,2,0,23,0,1,11,5,1
10,0,0,0,0,0,1,1,0,1
10,11,6,0,34,1,0,19,9,1
10,4,1,0,12,0,1,5,2,1
10,0,1,0,15,0,1,7,3,1
10,4,1,0,23,0,1,9,4,1
10,4,2,0,19,1,0,11,5,1
10,8,3,0,28,0,1,17,8,1
10,0,0,1,6,0,1,2,1,1
10,0,0,0,0,0,1,1,0,1
10,3,3,0,20,0,1,9,4,1
10,0,0,0,0,0,1,1,0,1
10,0,1,0,6,0,1,3,1,1
10,5,1,0,30,1,0,16,8,1
10,0,2,1,15,0,1,6,3,1
10,0,1,0,10,0,1,5,2,1
10,0,1,1,17,0,1,6,3,1
10,11,1,1,37,0,1,20,10,1
10,13,3,1,34,0,1,16,8,1
10,0,1,0,13,0,1,5,2,1
10,2,1,1,20,0,1,8,4,1
10,10,5,1,27,0,1,14,7,1
10,6,6,1,19,0,1,10,5,1
10,0,0,0,0,0,1,1,0,1
10,2,0,0,10,0,1,5,2,1
10,11,4,0,23,0,1,15,7,1
10,11,3,0,23,1,0,15,7,1
10,0,0,1,7,0,1,2,1,1
10,5,1,0,18,0,1,11,5,1
10,0,0,0,6,0,1,3,1,1
10,4,7,1,26,0,1,14,7,1
10,1,2,0,22,1,0,11,5,1
10,6,2,0,19,0,1,11,5,1
10,1,0,0,10,0,1,5,2,1
10,8,5,0,27,1,0,15,7,1
10,6,1,0,21,0,1,9,4,1
10,1,1,1,17,0,1,8,4,1
10,2,2,0,15,0,1,7,3,1
10,2,2,0,15,0,1,7,3,1
10,10,7,0,21,0,1,13,6,1
10,1,0,0,6,0,1,3,1,1
10,0,0,0,0,0,1,1,0,1
10,0,0,1,6,0,1,2,1,1
10,4,1,0,17,0,1,9,4,1
10,3,0,0,17,0,1,7,3,1
10,3,0,0,11,0,1,5,2,1
10,5,4,0,25,1,0,17,8,1
10,2,0,1,12,0,1,4,2,1
10,11,3,0,26,0,1,13,6,1
10,1,0,0,17,0,1,7,3,1
10,6,0,0,17,0,1,9,4,1
10,6,0,0,21,0,1,11,5,1
10,6,2,0,22,1,0,15,7,1
10,0,0,1,6,0,1,2,1,1
10,0,0,0,0,0,1,1,0,1
10,0,0,0,0,0,1,1,0,1
10,6,4,0,32,1,0,17,8,1
10,4,3,0,28,1,0,13,6,1
10,0,0,0,0,0,1,1,0,1
10,0,0,0,0,0,1,1,0,1
10,2,0,1,19,0,1,8,4,1
10,3,0,0,18,0,1,7,3,1
10,0,0,0,0,0,1,1,0,1
10,0,0,1,12,0,1,4,2,1
10,6,3,0,16,0,1,9,4,1
10,0,0,0,6,0,1,3,1,1
10,2,1,0,12,0,1,5,2,1
10,4,4,0,18,0,1,15,7,1
10,7,0,0,11,0,1,5,2,1
10,6,2,1,21,0,1,10,5,1
10,13,2,0,28,0,1,17,8,1
10,16,1,0,34,1,0,27,13,1
10,1,1,0,11,0,1,5,2,1
10,0,0,0,6,0,1,3,1,1
10,5,3,0,21,1,0,15,7,1
10,2,1,0,10,0,1,5,2,1
10,0,0,0,0,0,1,1,0,1
10,4,1,0,23,1,0,11,5,1
10,9,5,0,18,1,0,15,7,1
10,1,1,0,11,0,1,5,2,1
10,8,5,0,37,1,0,21,10,1
10,0,1,0,11,0,1,5,2,1
10,1,0,1,15,0,1,6,3,1
10,16,7,0,31,1,0,23,11,1
10,3,1,1,19,0,1,8,4,1
10,6,0,0,21,1,0,13,6,1
10,3,3,0,8,0,1,5,2,1
10,6,3,1,23,0,1,10,5,1
10,6,4,0,25,0,1,13,6,1
10,1,2,0,14,0,1,7,3,1
10,0,1,0,5,0,1,3,1,1
10,1,0,0,13,0,1,5,2,1
10,0,0,1,6,0,1,2,1,1
10,12,3,0,28,1,0,20,10,1
10,7,6,2,37,0,1,18,9,1
10,11,9,0,22,1,0,21,10,1
10,2,4,0,13,0,1,9,4,1
10,0,0,0,0,0,1,1,0,1
10,6,3,0,33,1,0,18,9,1
10,2,0,1,29,1,0,14,7,1
10,4,1,0,13,0,1,7,3,1
10,3,4,0,20,0,1,11,5,1
10,11,3,0,24,0,1,13,6,1
10,0,0,1,12,0,1,4,2,1
10,4,5,0,23,0,1,13,6,1
10,5,1,0,19,0,1,13,6,1
10,6,1,0,25,0,1,13,6,1
10,6,3,0,25,1,0,13,6,1
10,5,0,0,19,0,1,9,4,1
10,0,0,1,11,0,1,4,2,1
10,6,2,0,25,0,1,13,6,1
